,price,title,location,size,Ogrzewanie,Piętro,Czynsz,Stan wykończenia,Rynek,Forma własności,Dostępne od,Typ ogłoszeniodawcy,Informacje dodatkowe,Unnamed: 13,Budynek i materiały - ,Wyposażenie - ,neighborhood
0,689 890 zł,Mieszkanie na sprzedaż,"ul. Bertolta Brechta, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",35m²,miejskie,parter/4,500 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,piwnica,,,,Północ
1,747 000 zł,Mieszkanie na sprzedaż,"Zacisze, Targówek, Warszawa, mazowieckie",50m²,miejskie,1/3,773 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Targówek
2,514 004 zł,Mieszkanie na sprzedaż,"ul. Kartograficzna, Grodzisk, Białołęka, Warszawa, mazowieckie",34.73m²,gazowe,2/2,brak informacji,brak informacji,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe",,,,Białołęka
3,959 000 zł,Mieszkanie na sprzedaż,"ul. Emilii Plater 20, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",53m²,brak informacji,4/4,350 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Śródmieście
4,1 600 000 zł,Mieszkanie na sprzedaż,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",81m²,miejskie,parter/3,1 475 zł,do zamieszkania,wtórny,brak informacji,brak informacji,prywatny,"ogródek
taras
garaż/miejsce parkingowe
piwnica
oddzielna kuchnia",,,,Wilanów
5,527 192 zł,Mieszkanie na sprzedaż,"Grodzisk, Białołęka, Warszawa, mazowieckie",36.91m²,miejskie,1/2,brak informacji,do zamieszkania,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe
piwnica
oddzielna kuchnia
pom. użytkowe",,,,Białołęka
6,558 000 zł,Mieszkanie na sprzedaż,"Czechowice, Ursus, Warszawa, mazowieckie",37m²,miejskie,brak informacji,brak informacji,do wykończenia,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe
pom. użytkowe",,,,Ursus
7,2 630 000 zł,Mieszkanie na sprzedaż,"ul. Leszczyny, Stegny, Mokotów, Warszawa, mazowieckie",139.03m²,brak informacji,parter/3,brak informacji,do zamieszkania,wtórny,pełna własność,2024-12-11,biuro nieruchomości,"balkon
taras
pom. użytkowe",,,,Mokotów
8,Price not available,Mieszkanie na sprzedaż,"ul. Goleszowska, Odolany, Wola, Warszawa, mazowieckie",37.3m²,brak informacji,2/6,brak informacji,do wykończenia,pierwotny,pełna własność,2026-08-15,deweloper,garaż/miejsce parkingowe,,,,Wola
9,820 000 zł,Mieszkanie na sprzedaż,"Jelonki Północne, Bemowo, Warszawa, mazowieckie",36.3m²,miejskie,6/11,brak informacji,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
piwnica
oddzielna kuchnia",,,,Bemowo
10,710 000 zł,Mieszkanie na sprzedaż,"ul. Edwarda Gibalskiego, Młynów, Wola, Warszawa, mazowieckie",44.5m²,miejskie,3/3,550 zł,do zamieszkania,wtórny,pełna własność,2023-09-01,biuro nieruchomości,"balkon
piwnica",,,,Wola
11,1 927 920 zł,Mieszkanie na sprzedaż,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",80.33m²,miejskie,> 10/24,900 zł,do wykończenia,wtórny,spółdzielcze wł. prawo do lokalu,2022-10-01,biuro nieruchomości,brak informacji,,,,Wola
12,1 896 000 zł,Mieszkanie na sprzedaż,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",92.14m²,miejskie,1/8,0,do wykończenia,pierwotny,pełna własność,2026-01-31,biuro nieruchomości,balkon,,,,Wola
13,2 074 600 zł,Mieszkanie na sprzedaż,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",90.2m²,miejskie,> 10/24,1 000 zł,do wykończenia,wtórny,spółdzielcze wł. prawo do lokalu,2022-10-01,biuro nieruchomości,brak informacji,,,,Wola
14,886 000 zł,Mieszkanie na sprzedaż,"ul. Powązkowska 68, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",55.4m²,miejskie,4/4,1 200 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
piwnica",,,,Żoliborz
15,700 000 zł,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",39.8m²,miejskie,3/3,650 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,balkon,,,,Północ
16,1 235 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",55m²,miejskie,1/5,830 zł,brak informacji,wtórny,pełna własność,brak informacji,prywatny,piwnica,,,,Mokotów
17,796 000 zł,Mieszkanie na sprzedaż,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",48.26m²,miejskie,6/6,brak informacji,do wykończenia,pierwotny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
oddzielna kuchnia",,,,Ursus
18,2 016 356 zł,Mieszkanie na sprzedaż,"ul. Gąsocińska, Siekierki, Mokotów, Warszawa, mazowieckie",117.23m²,brak informacji,3/3,brak informacji,do wykończenia,pierwotny,pełna własność,2027-04-01,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
19,1 269 000 zł,Mieszkanie na sprzedaż,"ul. Gratyny, Kępa Zawadowska, Wilanów, Warszawa, mazowieckie",72.53m²,brak informacji,parter,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,ogródek,,,,Wilanów
20,2 430 000 zł,Mieszkanie na sprzedaż,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",89.6m²,brak informacji,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
21,655 690 zł,Mieszkanie na sprzedaż,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",55.1m²,brak informacji,1/5,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Rembertów
22,Price not available,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",47.32m²,brak informacji,4/7,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Północ
23,960 000 zł,Mieszkanie na sprzedaż,"ul. Bluszczowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",62.28m²,miejskie,3/5,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Wawer
24,2 372 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",85.05m²,miejskie,1/4,0,do zamieszkania,wtórny,brak informacji,2025-03-03,biuro nieruchomości,pom. użytkowe,,,,Mokotów
25,790 000 zł,Mieszkanie na sprzedaż,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe",,,,Białołęka
26,850 000 zł,Mieszkanie na sprzedaż,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.5m²,miejskie,7/7,780 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"balkon
pom. użytkowe",,,,Północ
27,1 180 000 zł,Mieszkanie na sprzedaż,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",73m²,miejskie,1/4,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"taras
garaż/miejsce parkingowe
piwnica
pom. użytkowe",,,,Białołęka
28,740 000 zł,Mieszkanie na sprzedaż,"ul. Kiełpińska, Słodowiec, Bielany, Warszawa, mazowieckie",55.9m²,brak informacji,9/10,800 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
piwnica
oddzielna kuchnia",,,,Bielany
29,550 000 zł,Mieszkanie na sprzedaż,"Huta, Bielany, Warszawa, mazowieckie",37m²,miejskie,2/10,brak informacji,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,piwnica,,,,Bielany
30,Price not available,Mieszkanie na sprzedaż,"ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie",43.14m²,brak informacji,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,2025-12-12,deweloper,"balkon
garaż/miejsce parkingowe",,,,Białołęka
31,1 900 000 zł,Mieszkanie na sprzedaż,"ul. Gwiaździsta, Marymont-Potok, Żoliborz, Warszawa, mazowieckie",95m²,miejskie,1/14,1 500 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"taras
garaż/miejsce parkingowe
piwnica
pom. użytkowe",,,,Żoliborz
32,1 541 500 zł,Mieszkanie na sprzedaż,"ul. Goleszowska, Odolany, Wola, Warszawa, mazowieckie",61.66m²,miejskie,1/8,865 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe",,,,Wola
33,2 390 000 zł,Mieszkanie na sprzedaż,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",119.1m²,gazowe,2/4,1 300 zł,do zamieszkania,wtórny,pełna własność,2025-03-10,biuro nieruchomości,oddzielna kuchnia,,,,Mokotów
34,799 000 zł,Mieszkanie na sprzedaż,"ul. Siewierska, Stara Ochota, Ochota, Warszawa, mazowieckie",49m²,miejskie,parter/3,550 zł,brak informacji,wtórny,pełna własność,2025-02-11,biuro nieruchomości,piwnica,,,,Ochota
35,1 551 200 zł,Mieszkanie na sprzedaż,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",56m²,brak informacji,> 10/12,500 zł,do wykończenia,wtórny,pełna własność,2025-03-10,biuro nieruchomości,brak informacji,,,,Wola
36,1 025 000 zł,Mieszkanie na sprzedaż,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",41m²,brak informacji,8/16,0,do zamieszkania,wtórny,pełna własność,2025-03-10,biuro nieruchomości,"garaż/miejsce parkingowe
piwnica",,,,Wola
37,1 085 000 zł,Mieszkanie na sprzedaż,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",35m²,miejskie,5/12,500 zł,do zamieszkania,wtórny,pełna własność,2025-03-10,biuro nieruchomości,balkon,,,,Wola
38,Price not available,Mieszkanie na sprzedaż,"ul. Czarnomorska, Stegny, Mokotów, Warszawa, mazowieckie",59.52m²,brak informacji,1/7,brak informacji,do wykończenia,pierwotny,pełna własność,2025-08-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
39,Price not available,Mieszkanie na sprzedaż,"ul. Rokokowa, Huta, Bielany, Warszawa, mazowieckie",96.65m²,brak informacji,parter/1,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"taras
balkon
ogródek",,,,Bielany
40,499 000 zł,Mieszkanie na sprzedaż,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",36.5m²,miejskie,10/10,494 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,2024-10-07,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Bielany
41,860 000 zł,Mieszkanie na sprzedaż,"ul. Księcia Janusza, Koło, Wola, Warszawa, mazowieckie",47.5m²,miejskie,2/5,761 zł,do zamieszkania,wtórny,pełna własność,2024-12-16,biuro nieruchomości,garaż/miejsce parkingowe,,,,Wola
42,759 000 zł,Mieszkanie na sprzedaż,"ul. Gorlicka, Rakowiec, Ochota, Warszawa, mazowieckie",56m²,miejskie,parter/4,800 zł,do remontu,wtórny,pełna własność,2024-12-16,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Ochota
43,839 000 zł,Mieszkanie na sprzedaż,"ul. Eugeniusza Horbaczewskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",55.71m²,miejskie,10/11,700 zł,do zamieszkania,wtórny,pełna własność,2024-10-15,biuro nieruchomości,piwnica,,,,Południe
44,749 000 zł,Mieszkanie na sprzedaż,"ul. Słodowiec, Słodowiec, Bielany, Warszawa, mazowieckie",37.5m²,miejskie,7/10,504 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,2025-03-01,biuro nieruchomości,"balkon
piwnica",,,,Bielany
45,999 000 zł,Mieszkanie na sprzedaż,"ul. ks. Juliana Chrościckiego, Nowe Włochy, Włochy, Warszawa, mazowieckie",72.49m²,miejskie,4/5,800 zł,brak informacji,wtórny,pełna własność,2024-07-11,biuro nieruchomości,"balkon
garaż/miejsce parkingowe
pom. użytkowe",,,,Włochy
46,860 000 zł,Mieszkanie na sprzedaż,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",50m²,miejskie,10/10,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
piwnica
oddzielna kuchnia",,,,Południe
47,825 000 zł,Mieszkanie na sprzedaż,"ul. Batalionów Chłopskich, Blizne Łaszczyńskiego, Stare Babice, warszawski zachodni, mazowieckie",45.86m²,miejskie,parter,850 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"ogródek
taras
garaż/miejsce parkingowe
piwnica",,,,
48,1 090 000 zł,Mieszkanie na sprzedaż,"ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie",50m²,miejskie,4/6,700 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe",,,,Mokotów
49,799 000 zł,Mieszkanie na sprzedaż,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",54m²,miejskie,9/10,765 zł,do remontu,wtórny,pełna własność,2025-03-10,biuro nieruchomości,"piwnica
oddzielna kuchnia
pom. użytkowe",,,,Południe
50,Price not available,Mieszkanie na sprzedaż,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",81.5m²,brak informacji,1/4,brak informacji,do wykończenia,pierwotny,pełna własność,2025-06-30,deweloper,garaż/miejsce parkingowe,,,,Południe
51,839 000 zł,Mieszkanie na sprzedaż,"ul.Portofino Stegny, Stegny, Mokotów, Warszawa, mazowieckie",56m²,miejskie,6/10,1 100 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
piwnica
oddzielna kuchnia
pom. użytkowe",,,,Mokotów
52,3 500 000 zł,Mieszkanie na sprzedaż,"ul. Bagno, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",96m²,miejskie,> 10/14,1 300 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,balkon,,,,Śródmieście
53,1 200 000 zł,Mieszkanie na sprzedaż,"Przebiśniegów 3/22, Stegny, Mokotów, Warszawa, mazowieckie",48m²,miejskie,2/2,800 zł,do wykończenia,wtórny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe",,,,Mokotów
54,1 551 200 zł,Mieszkanie na sprzedaż,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",56m²,brak informacji,> 10/12,500 zł,do wykończenia,wtórny,pełna własność,2025-03-10,biuro nieruchomości,brak informacji,,,,Wola
55,1 025 000 zł,Mieszkanie na sprzedaż,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",41m²,brak informacji,8/16,0,do zamieszkania,wtórny,pełna własność,2025-03-10,biuro nieruchomości,"garaż/miejsce parkingowe
piwnica",,,,Wola
56,1 085 000 zł,Mieszkanie na sprzedaż,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",35m²,miejskie,5/12,500 zł,do zamieszkania,wtórny,pełna własność,2025-03-10,biuro nieruchomości,balkon,,,,Wola
57,Price not available,Mieszkanie na sprzedaż,"ul. Czarnomorska, Stegny, Mokotów, Warszawa, mazowieckie",59.52m²,brak informacji,1/7,brak informacji,do wykończenia,pierwotny,pełna własność,2025-08-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
58,Price not available,Mieszkanie na sprzedaż,"ul. Rokokowa, Huta, Bielany, Warszawa, mazowieckie",96.65m²,brak informacji,parter/1,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"taras
balkon
ogródek",,,,Bielany
59,499 000 zł,Mieszkanie na sprzedaż,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",36.5m²,miejskie,10/10,494 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,2024-10-07,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Bielany
60,860 000 zł,Mieszkanie na sprzedaż,"ul. Księcia Janusza, Koło, Wola, Warszawa, mazowieckie",47.5m²,miejskie,2/5,761 zł,do zamieszkania,wtórny,pełna własność,2024-12-16,biuro nieruchomości,garaż/miejsce parkingowe,,,,Wola
61,759 000 zł,Mieszkanie na sprzedaż,"ul. Gorlicka, Rakowiec, Ochota, Warszawa, mazowieckie",56m²,miejskie,parter/4,800 zł,do remontu,wtórny,pełna własność,2024-12-16,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Ochota
62,839 000 zł,Mieszkanie na sprzedaż,"ul. Eugeniusza Horbaczewskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",55.71m²,miejskie,10/11,700 zł,do zamieszkania,wtórny,pełna własność,2024-10-15,biuro nieruchomości,piwnica,,,,Południe
63,749 000 zł,Mieszkanie na sprzedaż,"ul. Słodowiec, Słodowiec, Bielany, Warszawa, mazowieckie",37.5m²,miejskie,7/10,504 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,2025-03-01,biuro nieruchomości,"balkon
piwnica",,,,Bielany
64,999 000 zł,Mieszkanie na sprzedaż,"ul. ks. Juliana Chrościckiego, Nowe Włochy, Włochy, Warszawa, mazowieckie",72.49m²,miejskie,4/5,800 zł,brak informacji,wtórny,pełna własność,2024-07-11,biuro nieruchomości,"balkon
garaż/miejsce parkingowe
pom. użytkowe",,,,Włochy
65,860 000 zł,Mieszkanie na sprzedaż,"ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",50m²,miejskie,10/10,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
piwnica
oddzielna kuchnia",,,,Południe
66,825 000 zł,Mieszkanie na sprzedaż,"ul. Batalionów Chłopskich, Blizne Łaszczyńskiego, Stare Babice, warszawski zachodni, mazowieckie",45.86m²,miejskie,parter,850 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"ogródek
taras
garaż/miejsce parkingowe
piwnica",,,,
67,1 090 000 zł,Mieszkanie na sprzedaż,"ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie",50m²,miejskie,4/6,700 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe",,,,Mokotów
68,799 000 zł,Mieszkanie na sprzedaż,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",54m²,miejskie,9/10,765 zł,do remontu,wtórny,pełna własność,2025-03-10,biuro nieruchomości,"piwnica
oddzielna kuchnia
pom. użytkowe",,,,Południe
69,Price not available,Mieszkanie na sprzedaż,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",81.5m²,brak informacji,1/4,brak informacji,do wykończenia,pierwotny,pełna własność,2025-06-30,deweloper,garaż/miejsce parkingowe,,,,Południe
70,462 000 zł,Mieszkanie na sprzedaż,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",35m²,brak informacji,brak informacji,brak informacji,brak informacji,pierwotny,brak informacji,brak informacji,biuro nieruchomości,brak informacji,,,,Białołęka
71,Price not available,Mieszkanie na sprzedaż,"ul. Podskarbińska, Grochów, Praga-Południe, Warszawa, mazowieckie",62.51m²,brak informacji,1/4,brak informacji,do wykończenia,pierwotny,pełna własność,2025-06-30,deweloper,"balkon
garaż/miejsce parkingowe",,,,Południe
72,1 599 000 zł,Mieszkanie na sprzedaż,"ul. Rudzka, Marymont-Kaskada, Bielany, Warszawa, mazowieckie",61.42m²,miejskie,6/6,1 000 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe
oddzielna kuchnia",,,,Bielany
73,655 690 zł,Mieszkanie na sprzedaż,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",55.1m²,brak informacji,1/5,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Rembertów
74,Price not available,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",47.32m²,brak informacji,4/7,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Północ
75,960 000 zł,Mieszkanie na sprzedaż,"ul. Bluszczowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",62.28m²,miejskie,3/5,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Wawer
76,2 372 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",85.05m²,miejskie,1/4,0,do zamieszkania,wtórny,brak informacji,2025-03-03,biuro nieruchomości,pom. użytkowe,,,,Mokotów
77,790 000 zł,Mieszkanie na sprzedaż,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe",,,,Białołęka
78,850 000 zł,Mieszkanie na sprzedaż,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.5m²,miejskie,7/7,780 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"balkon
pom. użytkowe",,,,Północ
79,1 220 000 zł,Mieszkanie na sprzedaż,"Natolin, Ursynów, Warszawa, mazowieckie",85.2m²,miejskie,3/4,1 200 zł,do zamieszkania,wtórny,pełna własność,2025-01-28,biuro nieruchomości,"piwnica
oddzielna kuchnia
pom. użytkowe",,,,Ursynów
80,1 320 000 zł,Mieszkanie na sprzedaż,"ul. Adama Branickiego 18, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",70m²,brak informacji,2/4,brak informacji,brak informacji,wtórny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe",,,,Wilanów
81,Price not available,Mieszkanie na sprzedaż,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",50.69m²,brak informacji,parter/8,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"ogródek
garaż/miejsce parkingowe",,,,Południe
82,3 310 000 zł,Mieszkanie na sprzedaż,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",132.11m²,brak informacji,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
83,655 690 zł,Mieszkanie na sprzedaż,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",55.1m²,brak informacji,1/5,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Rembertów
84,Price not available,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",47.32m²,brak informacji,4/7,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Północ
85,960 000 zł,Mieszkanie na sprzedaż,"ul. Bluszczowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",62.28m²,miejskie,3/5,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Wawer
86,2 372 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",85.05m²,miejskie,1/4,0,do zamieszkania,wtórny,brak informacji,2025-03-03,biuro nieruchomości,pom. użytkowe,,,,Mokotów
87,790 000 zł,Mieszkanie na sprzedaż,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe",,,,Białołęka
88,850 000 zł,Mieszkanie na sprzedaż,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.5m²,miejskie,7/7,780 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"balkon
pom. użytkowe",,,,Północ
89,890 000 zł,Mieszkanie na sprzedaż,"al. Aleja ""Solidarności"" 161, Mirów, Wola, Warszawa, mazowieckie",56.7m²,miejskie,10/10,1 100 zł,do remontu,wtórny,brak informacji,brak informacji,prywatny,"balkon
piwnica",,,,Wola
90,699 999 zł,Mieszkanie na sprzedaż,"ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie",43.03m²,brak informacji,parter,brak informacji,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"ogródek
taras
oddzielna kuchnia",,,,Białołęka
91,Price not available,Mieszkanie na sprzedaż,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",109.68m²,brak informacji,parter/8,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"ogródek
garaż/miejsce parkingowe",,,,Południe
92,886 000 zł,Mieszkanie na sprzedaż,"ul. Powązkowska 68, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",55.4m²,miejskie,4/4,1 200 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
piwnica",,,,Żoliborz
